	1_S1_L001	10_S10_L001	11_S11_L001	12_S12_L001	13_S13_L001	14_S14_L001	15_S15_L001	16_S16_L001	17_S17_L001	2_S2_L001	3_S3_L001	4_S4_L001	5_S5_L001	6_S6_L001	8_S8_L001	9_S9_L001	1_S72_L002	10_S81_L002	11_S82_L002	12_S83_L002	13_S84_L002	14_S85_L002	15_S86_L002	16_S87_L002	17_S88_L002	18_S89_L002	19_S90_L002	2_S73_L002	20_S91_L002	21_S92_L002	22_S93_L002	23_S94_L002	24_S95_L002	25_S96_L002	26_S97_L002	27_S98_L002	28_S99_L002	29_S100_L002	3_S74_L002	30_S101_L002	31_S102_L002	32_S103_L002	33_S104_L002	34_S105_L002	35_S106_L002	36_S107_L002	37_S108_L002	38_S109_L002	39_S110_L002	4_S75_L002	40_S111_L002	41_S112_L002	42_S113_L002	43_S114_L002	44_S115_L002	45_S116_L002	46_S117_L002	47_S118_L002	48_S119_L002	49_S120_L002	5_S76_L002	50_S121_L002	51_S122_L002	52_S123_L002	53_S124_L002	6_S77_L002	7_S78_L002	8_S79_L002	9_S80_L002
ASV_1	448	38438	709	0	0	0	0	0	9968	3801	0	0	1327	3193	77879	20661	0	470	809	38	3527	6589	5445	5160	0	133	0	585	0	2332	2533	928	1032	0	0	0	0	0	45	0	0	0	0	0	0	9	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	513	4565	0	21	62	107	770
ASV_2	183	11207	25621	38656	37279	331	264	1346	590	249	77	125	85	72	9677	5220	0	149	273	1077	473	712	923	369	0	0	0	0	0	288	266	189	69	0	19	47	29	0	0	0	23	0	786	828	844	1357	259	884	1472	0	421	0	0	0	0	203	201	110	71	54	0	137	103	454	0	0	0	0	165
ASV_3	1455	3239	2446	1576	1150	54614	33117	8371	466	1294	2007	2056	458	677	2923	3159	21	70	80	136	12	21	14	17	101	55	365	47	52	181	152	96	69	86	78	162	51	120	21	64	95	49	89	236	130	164	0	58	70	87	15	1585	787	1163	833	574	337	288	130	18	135	109	0	0	0	83	21	28	43
ASV_4	0	8476	24133	47	130	0	0	57	35	0	0	0	0	0	16340	48061	0	596	142	955	310	796	584	71	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	149	194	333	545	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	164
ASV_5	4488	4025	10421	25247	24191	0	0	224	0	3934	1314	2764	633	2338	4889	1455	95	42	79	447	203	408	457	200	0	0	0	179	0	0	0	0	0	174	242	223	173	160	95	145	147	92	381	472	367	802	131	587	1032	248	319	0	0	0	0	0	0	0	0	0	175	89	0	114	0	150	120	106	83
ASV_6	2782	4244	3687	1982	1010	966	756	1056	1087	1332	47	127	5098	25583	3808	5569	29	133	117	216	30	34	21	52	4346	15714	28	81	9707	105	565	444	142	0	12	0	0	0	21	0	9	3	95	237	204	143	24	50	109	106	30	31	21	64	32	93	104	96	29	0	43	50	0	95	0	310	247	720	60
ASV_7	658	3599	13648	37438	19327	140	58	1157	780	460	319	364	98	479	4302	1797	0	0	84	538	0	196	290	174	0	0	0	39	0	336	140	0	123	0	22	0	0	0	0	0	0	0	386	503	367	718	135	830	1060	46	235	0	0	0	0	152	130	185	0	79	0	91	0	302	0	0	0	0	0
ASV_8	5199	1474	954	168	21826	0	0	0	0	3586	0	0	9803	2223	3311	19219	55	446	63	70	253	307	240	329	0	0	0	818	0	0	137	0	0	0	0	0	0	0	47	0	0	0	0	0	11	19	57	0	45	130	232	0	0	0	0	0	0	0	0	27	1743	41	0	436	0	1119	410	57	62
ASV_9	3509	9033	9047	1770	2011	125	67	526	0	2594	3026	3728	1297	2741	7121	10408	45	239	236	474	0	49	41	27	0	0	0	105	0	0	0	0	0	279	290	309	389	253	49	121	232	99	336	327	412	617	25	37	82	292	0	0	0	0	0	35	0	33	27	0	114	0	0	167	0	118	69	90	87
ASV_10	20565	0	0	0	0	0	0	0	0	16936	23	74	3897	5968	0	0	215	0	0	0	0	9	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	141	192	188	0
ASV_11	465	2042	7799	9189	11037	165	119	2577	2131	943	96	154	0	104	1970	187	0	0	43	300	89	139	197	114	0	0	0	0	0	1308	555	272	304	51	0	29	67	0	0	0	0	0	276	257	229	546	73	212	559	42	138	0	0	0	0	278	285	662	49	80	0	61	0	147	0	0	0	0	0
ASV_12	39	890	1553	13789	17773	957	1415	1248	7	63	0	13	0	0	390	979	0	11	13	56	58	108	75	72	3	11	127	0	14	49	0	0	4	15	8	7	0	2	0	0	0	0	94	219	308	110	47	337	937	0	214	32	42	86	77	95	67	166	29	107	0	0	18	78	0	0	0	0	7
ASV_13	821	186	234	260	150	25312	8305	2261	88	360	452	536	125	165	133	158	0	0	0	0	0	0	0	0	0	45	102	24	0	50	34	24	0	45	22	59	0	28	0	0	26	0	0	19	0	0	0	0	0	26	0	727	211	967	320	127	57	63	43	0	0	0	0	0	0	0	0	0	0
ASV_14	1266	5272	11861	2684	6482	20	22	152	10	787	872	1002	344	868	1664	5436	19	106	105	570	53	139	125	96	0	0	0	45	0	14	0	0	0	54	55	0	43	58	14	41	91	33	146	182	210	233	26	60	290	88	98	0	0	0	0	26	0	92	0	0	49	0	0	81	0	37	36	0	34
ASV_15	0	0	0	0	0	8068	18282	9605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	15	775	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	315	1285	2288	114	0	0	112	35	0	85	0	0	0	0	0	0	0
ASV_16	0	0	0	0	0	29930	5660	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1051	172	442	465	27	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	413	5495	5006	2811	5078	0	52	98	0	639	132	234	155	247	7941	6634	20	148	122	232	130	279	398	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	97	169	282	55	75	238	0	0	0	0	0	0	0	0	0	0	23	0	0	0	262	0	0	0	0	104
ASV_18	1109	4398	5002	2679	4971	172	67	315	88	2640	737	1024	413	1060	4145	4237	0	100	118	254	131	275	394	129	0	0	0	79	0	0	42	0	18	50	62	68	63	98	58	27	37	32	57	67	129	242	54	54	252	84	110	0	0	0	0	50	0	52	8	0	131	40	84	295	0	48	34	38	44
ASV_19	6896	102	125	0	141	0	0	0	405	2751	0	0	1880	18330	97	284	62	0	0	0	60	141	672	192	0	38	0	51	0	244	209	563	70	0	0	0	0	0	40	0	0	0	0	0	0	10	0	0	0	83	0	0	0	0	0	0	0	0	0	0	927	0	0	0	0	146	89	564	0
ASV_20	218	3991	5303	4131	4250	688	623	2215	209	431	556	298	84	369	2930	3113	0	77	109	268	26	64	67	54	0	0	67	34	0	286	140	86	37	27	32	39	30	17	0	20	18	6	280	194	354	467	39	139	220	24	55	37	21	63	47	279	308	530	64	0	0	61	18	33	0	0	0	0	38
ASV_21	2248	1523	3118	4923	4974	0	0	0	0	2355	950	1620	584	2041	2538	712	0	0	28	141	61	73	100	55	0	0	0	158	0	0	0	0	0	125	165	140	205	89	45	0	56	55	94	119	118	270	0	98	221	138	83	0	0	0	0	0	0	0	0	0	120	0	0	94	0	103	0	75	34
ASV_22	0	26	74	0	0	6321	9438	7097	0	0	0	13	0	6	0	13	0	0	0	0	0	0	0	0	50	31	2363	0	347	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	298	356	399	36	0	0	117	50	0	53	0	0	0	0	0	0	0
ASV_23	0	2080	3417	7367	8140	0	0	165	76	0	0	2	0	0	942	1839	0	49	56	182	86	157	169	83	0	0	0	0	0	32	0	0	5	0	0	0	0	0	0	0	0	0	61	87	108	132	89	204	334	0	102	0	0	0	0	0	24	88	0	0	0	0	0	163	0	0	0	0	0
ASV_24	1022	4674	2245	4431	1062	15	8	96	0	462	851	846	647	849	2950	4022	0	100	108	155	0	21	17	0	0	0	0	163	0	0	0	0	0	0	33	55	0	0	15	0	0	0	86	109	97	287	5	145	115	138	34	0	0	0	0	0	0	21	0	0	0	0	0	9	0	0	38	43	64
ASV_25	0	159	2524	1790	2841	4998	2733	4549	234	0	0	0	0	0	459	839	0	14	7	132	22	55	45	36	0	0	58	0	0	550	367	204	91	0	0	0	0	0	0	0	0	0	66	190	177	141	18	42	150	0	36	203	47	209	141	678	549	497	57	47	0	35	0	38	0	0	0	0	0
ASV_26	1998	2875	449	9410	3369	42	47	62	2088	784	0	10	0	0	308	287	34	10	72	0	41	77	66	97	0	0	0	0	0	936	497	232	247	0	0	0	0	0	0	0	0	0	17	25	17	13	23	212	347	0	49	0	0	0	0	0	0	0	0	0	0	49	16	24	0	0	0	0	0
ASV_27	635	0	0	0	0	0	0	0	0	447	8042	5207	2726	4938	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	70	91	99	65	547	0	273	498	150	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	229	144	140	0
ASV_28	0	181	399	1248	1607	4882	4889	4647	286	0	0	13	0	0	259	166	0	0	0	23	0	23	33	0	27	0	411	0	53	276	111	59	49	0	0	0	0	0	0	0	0	0	31	28	31	49	8	40	59	0	31	175	146	505	384	297	223	535	97	31	0	63	0	0	0	0	0	0	0
ASV_29	3658	1410	391	0	0	0	0	67	0	3131	2383	3110	1402	3698	261	301	87	0	28	16	0	0	0	0	0	0	0	220	0	0	0	0	0	172	109	194	148	173	66	90	176	71	0	0	15	30	0	0	0	187	0	0	0	0	0	0	0	0	0	0	59	20	11	0	0	128	80	91	0
