""	"1_S72_L002"	"10_S81_L002"	"11_S82_L002"	"12_S83_L002"	"13_S84_L002"	"14_S85_L002"	"15_S86_L002"	"16_S87_L002"	"17_S88_L002"	"18_S89_L002"	"19_S90_L002"	"2_S73_L002"	"20_S91_L002"	"21_S92_L002"	"22_S93_L002"	"23_S94_L002"	"24_S95_L002"	"25_S96_L002"	"26_S97_L002"	"27_S98_L002"	"28_S99_L002"	"29_S100_L002"	"3_S74_L002"	"30_S101_L002"	"31_S102_L002"	"32_S103_L002"	"33_S104_L002"	"34_S105_L002"	"35_S106_L002"	"36_S107_L002"	"37_S108_L002"	"38_S109_L002"	"39_S110_L002"	"4_S75_L002"	"40_S111_L002"	"41_S112_L002"	"42_S113_L002"	"43_S114_L002"	"44_S115_L002"	"45_S116_L002"	"46_S117_L002"	"47_S118_L002"	"48_S119_L002"	"49_S120_L002"	"5_S76_L002"	"50_S121_L002"	"51_S122_L002"	"52_S123_L002"	"53_S124_L002"	"6_S77_L002"	"7_S78_L002"	"8_S79_L002"	"9_S80_L002"
"ASV_1"	0	470	809	38	3527	6589	5445	5160	0	133	0	585	0	2332	2533	928	1032	0	0	0	0	0	45	0	0	0	0	0	0	9	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	513	4565	0	21	62	107	770
"ASV_2"	29	133	117	216	30	34	21	52	4346	15714	28	81	9707	105	565	444	142	0	12	0	0	0	21	0	9	3	95	237	204	143	24	50	109	106	30	31	21	64	32	93	104	96	29	0	43	50	0	95	0	310	247	720	60
"ASV_3"	0	149	273	1077	473	712	923	369	0	0	0	0	0	288	266	189	69	0	19	47	29	0	0	0	23	0	786	828	844	1357	259	884	1472	0	421	0	0	0	0	203	201	110	71	54	0	137	103	454	0	0	0	0	165
"ASV_4"	21	70	80	136	12	21	14	17	101	55	365	47	52	181	152	96	69	86	78	162	51	120	21	64	95	49	89	236	130	164	0	58	70	87	15	1585	787	1163	833	574	337	288	130	18	135	109	0	0	0	83	21	28	43
"ASV_5"	95	42	79	447	203	408	457	200	0	0	0	179	0	0	0	0	0	174	242	223	173	160	95	145	147	92	381	472	367	802	131	587	1032	248	319	0	0	0	0	0	0	0	0	0	175	89	0	114	0	150	120	106	83
"ASV_6"	0	0	0	0	0	0	0	0	305	385	2576	0	4593	410	163	157	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_7"	0	0	43	300	89	139	197	114	0	0	0	0	0	1308	555	272	304	51	0	29	67	0	0	0	0	0	276	257	229	546	73	212	559	42	138	0	0	0	0	278	285	662	49	80	0	61	0	147	0	0	0	0	0
"ASV_8"	0	0	84	538	0	196	290	174	0	0	0	39	0	336	140	0	123	0	22	0	0	0	0	0	0	0	386	503	367	718	135	830	1060	46	235	0	0	0	0	152	130	185	0	79	0	91	0	302	0	0	0	0	0
"ASV_9"	55	446	63	70	253	307	240	329	0	0	0	818	0	0	137	0	0	0	0	0	0	0	47	0	0	0	0	0	11	19	57	0	45	130	232	0	0	0	0	0	0	0	0	27	1743	41	0	436	0	1119	410	57	62
"ASV_10"	45	239	236	474	0	49	41	27	0	0	0	105	0	0	0	0	0	279	290	309	389	253	49	121	232	99	336	327	412	617	25	37	82	292	0	0	0	0	0	35	0	33	27	0	114	0	0	167	0	118	69	90	87
