"","X1_S1_L001_reseq","X2_S73_L002","X4_S75_L002","X3_S3_L001_reseq","X5_S5_L001_reseq","X6_S6_L001_reseq","X29_S100_L002","X31_S102_L002","X4_S4_L001_reseq","X8_S8_L001_reseq","X9_S9_L001_reseq","X12_S12_L001_reseq","X14_S85_L002","X15_S86_L002","X16_S87_L002","X33_S104_L002","X34_S105_L002","X35_S106_L002","X38_S109_L002","X39_S110_L002","X13_S13_L001_reseq","X17_S88_L002","X18_S89_L002","X19_S90_L002","X20_S91_L002","X21_S92_L002","X22_S93_L002","X23_S94_L002","X17_S17_L001_reseq","X14_S14_L001_reseq","X15_S15_L001_reseq","X43_S114_L002","X44_S115_L002","X45_S116_L002","X46_S117_L002","X47_S118_L002","X16_S16_L001_reseq"
"ASV_1",17478804.9773623,188852877.442693,28471340.9123087,0.01,14519882.6611097,12719721.5034672,0.01,0.01,0.01,4071163461.24738,860445256.809348,0.01,5239322924.40135,554163301.161026,2378751113.94062,0.01,0.01,0.01,0.01,0.01,0.01,0.01,404649597.6,0.01,0.01,48056595.532,104261594.397,86508561.402,45172697.052,5343337.008,12518130.06,0.01,0.01,26630866.392,31844718.27,51680011.718,25025501.6
"ASV_2",8739402.48868115,0.01,0.01,1379831.05241636,558457.025427296,136771.198962013,0.01,6401245.31314707,3877329.67907105,549025472.488218,182017265.863516,1066453927.7758,594973959.211679,97356870.5285471,164492642.418681,762581124.093229,339440607.386209,481197304.203949,36824928.9098348,14477619.5497941,13923025.4336046,0.01,0.01,671933692.18,66587560.52,38854268.728,53402280.057,44102403.852,36568373.804,907699374.234,1806783438.66,959314282.5,759346135.32,85077369.624,48160222.075,153624144.422,175178511.2
"ASV_3",40783878.280512,14253047.3541655,44443068.7411648,48294086.8345724,5305341.74155931,3008966.37716428,18450723.3284069,26161611.2798185,51697729.0542806,118645335.156352,121344843.909011,50483026.1669019,15540364.6062752,856512.057435898,8522934.84034617,89163331.4324391,103512581.262329,70198194.9662231,2379138.66552303,607282.69923633,408899.425362836,299643948.66,179844265.6,0.01,15007811717.2,20960855.498,207675533.555,192806662.994,77438909.232,18701679.528,31295325.15,43854367.2,34320729.28,14140283.04,16118931.47,51680011.718,19019381.216
"ASV_4",71857309.3513784,24150996.9056694,48609606.435649,919887.36827757,61849115.566073,98201720.8547253,0.01,2504835.12253581,2584886.45271403,183783950.53631,185694382.345607,56793404.4377646,24420572.9527182,2569536.17230769,22159630.5849,87990129.7030649,96118825.4578769,135867474.128174,2172257.04243407,995943.626747581,388454.454094694,12992426942.46,45680443462.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2502550.16
"ASV_5",112641187.63189,56616271.434602,78469793.2461191,32196057.889715,8097626.86869579,9984297.52422694,25974319.2487281,41468937.0286484,80131480.0341349,241943428.55413,47802514.267186,727271095.71693,293046875.432618,48250179.2355556,89490815.8236347,366038939.56475,192237650.915754,200404524.339056,24980955.9879919,10250931.9631092,9997590.95012133,0.01,0.01,0.01,0.01,65950008.762,50859314.34,0.01,58079181.924,2003751.378,0.01,0.01,0.01,21917438.712,18084654.82,89201116.116,21021421.344
"ASV_6",24276118.0241143,13065293.4079851,18749419.6251789,11498592.1034696,558457.025427296,2188339.18339221,0.01,0.01,10985767.4240346,239617049.433417,79058004.3649614,1001772550.49946,139863281.456477,27979393.8762393,81820174.4673232,383636965.505363,198287087.483033,219652416.507214,34083747.4039061,10858214.6623456,6624170.69087794,0.01,0.01,0.01,0.01,0.01,3390620.956,0.01,3226621.218,0.01,0.01,0.01,0.01,1414028.304,0.01,0.01,1501530.096
"ASV_7",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,846801999.939456,1862459498.17921,1577594.56771568,666015625.983223,62525380.1928206,41762380.7176962,154862628.277394,85364271.5604921,169834342.660217,0.01,0.01,40889.9425362836,0.01,0.01,0.01,0.01,0.01,46621038.145,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_9",152454021.191438,270807899.729145,59720373.6209402,0.01,103314549.70405,8753356.73356882,0.01,0.01,0.01,176804813.174172,746454645.86452,6310378.27086274,239765625.35396,22554817.5124786,157674294.546404,0.01,0.01,7925602.6574768,0.01,437243.543450158,8259768.39232928,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2003751.378,2086355.01,0.01,0.01,5656113.216,0.01,15574798.052,10510710.672
"ASV_10",94191337.9335635,33653028.475113,120829593.140042,68991552.6208178,15357568.1992506,11625551.9117711,40125844.90838,64569083.1587009,112442560.69306,439685653.814717,432061186.645719,63103782.7086274,28860677.1259397,4568064.30632479,0.01,343748106.70664,149219435.326215,238900308.675372,1551612.1731672,825904.470961409,695129.023116821,0.01,0.01,0.01,0.01,249996544.842,200894291.643,124391395.48,152188967.449,4675419.882,4172710.02,0.01,0.01,41006820.816,42852769.03,331318431.288,54555593.488
"ASV_11",10681491.9306103,0.01,14582881.9306947,2759662.10483271,0.01,547084.795848052,0.01,0.01,2584886.45271403,109339818.673501,7354232.96418246,283967022.188823,102122395.984094,20841793.3976068,54546782.9782155,283914818.508556,110906337.066781,132470787.274969,8895909.79282526,5319796.44531025,4416113.79391863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_12",604960861.160929,76412170.5376096,445125110.360729,459943.684138785,42442733.9324745,22704019.0276941,0.01,0.01,646221.613178508,0.01,0.01,0.01,4440104.17322148,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,166496844.08,0.01,8179846.048,9324207.629,11308308.68,3764391.421,442161137.412,467343522.24,796687670.8,319611791.42,16968339.648,8452610.405,29025760.006,44545392.848
"ASV_15",27189252.187008,7522441.65914292,0.01,9198873.6827757,837685.538140944,273542.397924026,4299197.668755,7236190.35399234,16801761.9426412,0.01,9192791.20522807,6310378.27086274,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20444.9712681418,0.01,146123465.8,1361706331.94,210006921.64,0.01,0.01,0.01,0.01,129575922.444,984759564.72,990377792.6,2301633907.34,16025654.112,0.01,0.01,201705542.896
"ASV_16",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,178439654.82,89922132.8,285423161.28,15366360.12,10736047.938,0.01,0.01,537770.203,16697928.15,77195135.37,73090612,68641458.56,13433268.888,10025189.085,72210427.332,18018361.152
"ASV_17",971044.720964573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,646221.613178508,18611032.9657023,34932606.5798667,370734723.413186,86582031.377819,7994112.53606838,30682565.4252462,91509734.8911875,88052910.0348383,183421090.073035,12930101.44306,9109240.48854495,6644615.66214608,0.01,44961066.4,107033685.48,0.01,116562806.184,119519388.699,94989792.912,20435267.714,78146303.742,154390270.74,179071999.4,135137871.54,94268553.6,80201512.68,241409369.806,101103026.464
"ASV_18",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25590170.3278407,31255490.0977754,48905431.5991862,46621093.8188256,4568064.30632479,13636695.7445539,66872498.5743294,79314834.9932131,87181629.2322448,1913655.01357288,1384604.55425883,1022248.56340709,0.01,0.01,0.01,0.01,2556201.89,0.01,0.01,537770.203,0.01,0.01,0.01,0.01,2592385.224,1376006.345,44600558.058,3003060.192
"ASV_19",48552236.0482286,16232637.2644663,36804416.3012771,22077296.8386617,4886498.97248884,4103135.96886039,9135795.04610438,24770036.211743,31664859.0457469,58159478.0178198,259236711.987432,66258971.8440587,93242187.6376512,11991168.8041026,46023848.1378693,138437804.066155,67888121.4772417,116619581.960016,2482579.47706751,2842083.03242602,2514731.46598144,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_20",53407459.6530515,55824435.4704816,61109219.5191016,26676733.6800495,6701484.30512755,8479814.3356448,14151525.6596519,15585640.762445,49759064.2147451,141909126.36348,33094048.3388211,141983511.094412,71041666.7715438,9992640.67008548,32387152.3933154,96202541.8086843,55117088.7240973,75859339.7215637,3672148.80982903,2040469.86943407,1676487.64398763,0.01,0.01,0.01,0.01,47545355.154,66964763.881,249913621.828,24199659.135,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_21",193237899.47195,17024473.2285866,32637878.6067929,0.01,22617509.5298055,72488735.4498668,0.01,0.01,0.01,6979137.36213837,5515674.72313684,0.01,93242187.6376512,71376004.7863248,96309163.6959117,0.01,0.01,0.01,0.01,0.01,20444.9712681418,0.01,101162399.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2002040.128
"ASV_22",6797313.04675201,0.01,0.01,4599436.84138785,2233828.10170918,957398.39273409,0.01,0.01,11631989.0372131,472254961.504696,292330760.326253,85190106.656647,248645833.700403,42540098.8526496,61365130.8504924,82124121.056194,41001736.7337797,99636147.6939941,3361826.37519559,2526296.02882313,1758267.52906019,0.01,0.01,0.01,0.01,0.01,18648415.258,0.01,9142093.451,1335834.252,0.01,0.01,0.01,8484169.824,0.01,26193978.542,8008160.512
"ASV_23",33986565.23376,25734668.83391,39582108.0975999,17937803.6814126,4746884.71613202,4650220.76470844,16121991.2578313,10019340.4901432,27787529.3666758,227985153.829853,185694382.345607,69414160.9794901,241985677.440571,33689474.2591453,57103663.4303193,57486884.7393358,25542065.506289,66801508.1130188,2275697.85397855,2380548.18100641,1615152.7301832,0.01,0.01,689772639.76,87076040.68,52657758.934,45773382.906,27705356.266,21510808.12,80817972.246,273312506.31,391034774.2,343207292.8,40064135.28,32041290.605,268311293.714,90091805.76
