"sample","sample_ID","site","core","pre_post_thaw"
1,"AT3_R5_POST_SOIL","CRREL","AT3","post"
25,"AT3_R5_PRE_SOIL","CRREL","AT3","pre"
2,"AT3_R6_POST_SOIL","CRREL","AT3","post"
26,"AT3_R6_PRE_SOIL","CRREL","AT3","pre"
3,"AT3_R7_POST_SOIL","CRREL","AT3","post"
27,"AT3_R7_PRE_SOIL","CRREL","AT3","pre"
4,"AT3_R8_POST_SOIL","CRREL","AT3","post"
28,"AT3_R8_PRE_SOIL","CRREL","AT3","pre"
5,"AT4_R5_POST_SOIL","CRREL","AT4","post"
29,"AT4_R5_PRE_SOIL","CRREL","AT4","pre"
6,"AT4_R6_POST_SOIL","CRREL","AT4","post"
30,"AT4_R6_PRE_SOIL","CRREL","AT4","pre"
7,"AT4_R7_POST_SOIL","CRREL","AT4","post"
31,"AT4_R7_PRE_SOIL","CRREL","AT4","pre"
8,"AT4_R8_POST_SOIL","CRREL","AT4","post"
32,"AT4_R8_PRE_SOIL","CRREL","AT4","pre"
17,"BEO1_R5_POST_SOIL","Utqiagvik","BEO1","post"
41,"BEO1_R5_PRE_SOIL","Utqiagvik","BEO1","pre"
18,"BEO1_R6_POST_SOIL","Utqiagvik","BEO1","post"
42,"BEO1_R6_PRE_SOIL","Utqiagvik","BEO1","pre"
19,"BEO1_R7_POST_SOIL","Utqiagvik","BEO1","post"
43,"BEO1_R7_PRE_SOIL","Utqiagvik","BEO1","pre"
20,"BEO1_R8_POST_SOIL","Utqiagvik","BEO1","post"
44,"BEO1_R8_PRE_SOIL","Utqiagvik","BEO1","pre"
21,"BEO2B_R5_POST_SOIL","Utqiagvik","BEO2B","post"
45,"BEO2B_R5_PRE_SOIL","Utqiagvik","BEO2B","pre"
22,"BEO2B_R6_POST_SOIL","Utqiagvik","BEO2B","post"
46,"BEO2B_R6_PRE_SOIL","Utqiagvik","BEO2B","pre"
23,"BEO2B_R7_POST_SOIL","Utqiagvik","BEO2B","post"
47,"BEO2B_R7_PRE_SOIL","Utqiagvik","BEO2B","pre"
24,"BEO2B_R8_POST_SOIL","Utqiagvik","BEO2B","post"
48,"BEO2B_R8_PRE_SOIL","Utqiagvik","BEO2B","pre"
51,"DNA_BLANK_1_POST_THAW_SOIL",NA,NA,"post"
49,"DNA_BLANK_1_PRE_THAW_SOIL",NA,NA,"pre"
52,"DNA_BLANK_2_POST_THAW_SOIL",NA,NA,"post"
50,"DNA_BLANK_2_PRE_THAW_SOIL",NA,NA,"pre"
9,"FL1C4_R5_POST_SOIL","FL","FL1C4","post"
33,"FL1C4_R5_PRE_SOIL","FL","FL1C4","pre"
10,"FL1C4_R6_POST_SOIL","FL","FL1C4","post"
34,"FL1C4_R6_PRE_SOIL","FL","FL1C4","pre"
11,"FL1C4_R7_POST_SOIL","FL","FL1C4","post"
35,"FL1C4_R7_PRE_SOIL","FL","FL1C4","pre"
54,"FL1C4_R8_POST_SOIL","FL","FL1C4","post"
13,"FL2C3_R5_POST_SOIL","FL","FL2C3","post"
37,"FL2C3_R5_PRE_SOIL","FL","FL2C3","pre"
14,"FL2C3_R6_POST_SOIL","FL","FL2C3","post"
38,"FL2C3_R6_PRE_SOIL","FL","FL2C3","pre"
15,"FL2C3_R7_POST_SOIL","FL","FL2C3","post"
39,"FL2C3_R7_PRE_SOIL","FL","FL2C3","pre"
16,"FL2C3_R8_POST_SOIL","FL","FL2C3","post"
40,"FL2C3_R8_PRE_SOIL","FL","FL2C3","pre"
53,"PCR_BLANK",NA,NA,NA
