"Row.names","sample","sample_ID","site","core","pre_post_thaw","Shannon","Simpson"
"AT3_R5_POST_SOIL",1,"AT3_R5_POST_SOIL","CRREL","AT3","post",4.53625716766302,0.96172872
"AT3_R6_POST_SOIL",2,"AT3_R6_POST_SOIL","CRREL","AT3","post",3.78991362793522,0.95306664
"AT3_R7_POST_SOIL",3,"AT3_R7_POST_SOIL","CRREL","AT3","post",4.88573819338815,0.97548608
"AT3_R7_PRE_SOIL",27,"AT3_R7_PRE_SOIL","CRREL","AT3","pre",4.33782428385613,0.9757712
"AT3_R8_POST_SOIL",4,"AT3_R8_POST_SOIL","CRREL","AT3","post",4.14727222149251,0.96124472
"AT3_R8_PRE_SOIL",28,"AT3_R8_PRE_SOIL","CRREL","AT3","pre",4.29252296314367,0.97460592
"AT4_R5_POST_SOIL",5,"AT4_R5_POST_SOIL","CRREL","AT4","post",3.1589060357666,0.89792616
"AT4_R5_PRE_SOIL",29,"AT4_R5_PRE_SOIL","CRREL","AT4","pre",4.42625241834707,0.97794424
"AT4_R6_POST_SOIL",6,"AT4_R6_POST_SOIL","CRREL","AT4","post",3.63500679911263,0.93252416
"AT4_R6_PRE_SOIL",30,"AT4_R6_PRE_SOIL","CRREL","AT4","pre",4.99323796863972,0.98338832
"AT4_R7_POST_SOIL",7,"AT4_R7_POST_SOIL","CRREL","AT4","post",3.88176131448327,0.94799624
"AT4_R7_PRE_SOIL",31,"AT4_R7_PRE_SOIL","CRREL","AT4","pre",4.30892189236149,0.97624832
"AT4_R8_POST_SOIL",8,"AT4_R8_POST_SOIL","CRREL","AT4","post",3.98931356588508,0.94667064
"AT4_R8_PRE_SOIL",32,"AT4_R8_PRE_SOIL","CRREL","AT4","pre",5.24568400790151,0.9866352
"BEO1_R5_POST_SOIL",17,"BEO1_R5_POST_SOIL","Utqiagvik","BEO1","post",0.834345902396644,0.31759512
"BEO1_R5_PRE_SOIL",41,"BEO1_R5_PRE_SOIL","Utqiagvik","BEO1","pre",3.25064023920219,0.83160872
"BEO1_R6_POST_SOIL",18,"BEO1_R6_POST_SOIL","Utqiagvik","BEO1","post",0.671311674666552,0.23655768
"BEO1_R6_PRE_SOIL",42,"BEO1_R6_PRE_SOIL","Utqiagvik","BEO1","pre",3.68332111661038,0.93494488
"BEO1_R7_POST_SOIL",19,"BEO1_R7_POST_SOIL","Utqiagvik","BEO1","post",3.41727144592101,0.93444464
"BEO1_R7_PRE_SOIL",43,"BEO1_R7_PRE_SOIL","Utqiagvik","BEO1","pre",3.60936628700251,0.93750928
"BEO1_R8_POST_SOIL",20,"BEO1_R8_POST_SOIL","Utqiagvik","BEO1","post",1.19539332092618,0.53324968
"BEO1_R8_PRE_SOIL",44,"BEO1_R8_PRE_SOIL","Utqiagvik","BEO1","pre",3.25854799152608,0.92398392
"BEO2B_R5_POST_SOIL",21,"BEO2B_R5_POST_SOIL","Utqiagvik","BEO2B","post",3.16092575890202,0.9175016
