"","X13_S84_L002","X14_S85_L002","X15_S86_L002","X16_S87_L002","X17_S88_L002","X18_S89_L002","X19_S90_L002","X2_S73_L002","X20_S91_L002","X21_S92_L002","X22_S93_L002","X23_S94_L002","X27_S98_L002","X29_S100_L002","X31_S102_L002","X33_S104_L002","X34_S105_L002","X35_S106_L002","X38_S109_L002","X39_S110_L002","X4_S75_L002","X41_S112_L002","X43_S114_L002","X44_S115_L002","X45_S116_L002","X46_S117_L002","X47_S118_L002","X1_S1_L001_reseq","X10_S10_L001_reseq","X11_S11_L001_reseq","X12_S12_L001_reseq","X13_S13_L001_reseq","X14_S14_L001_reseq","X15_S15_L001_reseq","X16_S16_L001_reseq","X17_S17_L001_reseq","X2_S2_L001_reseq","X3_S3_L001_reseq","X4_S4_L001_reseq","X5_S5_L001_reseq","X6_S6_L001_reseq","X8_S8_L001_reseq","X9_S9_L001_reseq"
"ASV_1",2721,2360,1941,2791,0,36,0,477,0,880,1086,749,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,18,975,7,0,0,0,0,0,1307,132,0,0,104,93,1750,468
"ASV_2",361,268,341,193,0,0,0,0,0,94,123,153,46,0,23,650,505,425,712,596,0,0,0,0,113,162,73,9,285,504,676,681,8,6,50,84,4,3,6,4,1,236,99
"ASV_3",10,7,3,10,89,16,113,36,13,76,63,78,162,103,94,76,154,62,46,25,64,1344,525,354,361,245,217,42,84,43,32,20,1359,866,350,68,44,105,80,38,22,51,66
"ASV_4",18,11,9,26,3859,4064,0,61,2930,41,245,341,0,0,9,75,143,120,42,41,70,27,24,16,60,82,73,74,111,68,36,19,28,15,38,144,50,2,4,443,718,79,101
"ASV_5",157,132,169,105,0,0,0,143,0,0,0,0,221,145,149,312,286,177,483,422,113,0,0,0,0,0,0,116,103,191,461,489,0,0,5,0,124,70,124,58,73,104,26
"ASV_6",0,63,98,96,0,0,0,33,0,129,60,0,0,0,0,327,295,194,659,447,27,0,0,0,93,92,126,25,79,254,635,324,3,0,42,108,16,25,17,4,16,103,43
"ASV_7",238,300,219,49,0,0,0,0,0,0,4,0,0,0,0,132,127,150,0,0,0,0,0,0,6,0,0,0,191,492,1,2,0,0,3,6,0,0,0,0,0,364,1013
"ASV_9",186,108,79,185,0,0,0,684,0,0,55,0,0,0,0,0,0,7,0,18,86,0,0,0,0,0,0,157,45,19,4,404,0,0,0,0,108,0,0,740,64,76,406
"ASV_10",15,13,16,0,0,0,0,85,0,0,0,0,305,224,232,293,222,211,30,34,174,0,0,0,24,0,22,97,218,177,40,34,3,1,21,0,76,150,174,110,85,189,235
"ASV_11",67,46,73,64,0,0,0,0,0,489,237,220,29,0,0,242,165,117,172,219,21,0,0,0,174,218,468,11,45,143,180,216,7,2,109,283,38,6,4,0,4,47,4
"ASV_12",0,2,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,544,1,1,304,166,0,0
"ASV_15",0,0,0,0,0,13,28,19,0,16,11,20,59,24,26,0,0,0,0,0,0,606,436,149,72,43,41,28,5,5,4,1,662,224,89,7,14,20,26,6,2,0,5
"ASV_16",0,0,0,0,53,8,229,0,41,0,0,0,0,0,0,0,0,0,0,0,0,174,542,1073,68,0,0,0,0,0,0,0,194,472,403,0,0,0,0,0,0,0,0
"ASV_17",50,39,28,36,0,4,48,0,3,21,0,0,7,0,0,78,131,162,250,375,0,29,40,32,57,51,102,1,16,30,235,325,25,37,36,1,1,0,1,0,0,8,19
"ASV_18",18,21,16,16,0,0,18,0,0,228,141,168,0,0,0,57,118,77,37,57,0,171,98,63,400,408,341,0,1,40,31,50,117,74,202,38,0,0,0,0,0,11,17
"ASV_19",39,42,42,54,0,0,0,41,0,5,0,0,0,51,89,118,101,103,48,117,53,0,0,0,11,7,63,50,133,215,42,123,0,0,6,1,30,48,49,35,30,25,141
"ASV_20",40,32,35,38,0,0,0,141,0,0,0,0,138,79,56,82,82,67,71,84,88,0,0,0,0,0,0,55,31,62,90,82,0,0,0,0,61,58,77,48,62,61,18
"ASV_21",41,42,250,113,0,9,0,43,0,93,79,442,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,199,5,3,0,1,0,0,0,45,84,0,0,162,530,3,3
"ASV_22",105,112,149,72,0,0,0,0,0,0,0,0,0,0,0,70,61,88,65,104,0,0,0,0,0,0,0,7,152,82,54,86,0,0,4,0,19,10,18,16,7,203,159
"ASV_23",104,109,118,67,0,0,0,65,0,0,22,0,67,90,36,49,38,59,44,98,57,0,0,0,36,0,37,35,108,93,44,79,2,0,16,17,104,39,43,34,34,98,101
"ASV_25",0,11,12,0,25,0,116,0,17,103,54,49,0,0,0,26,11,18,28,22,0,150,214,160,170,163,379,0,3,6,21,25,121,131,180,40,0,0,0,0,0,2,2
"ASV_26",0,0,0,0,46,11,758,0,108,0,5,0,0,0,0,0,0,0,0,0,0,192,158,196,20,0,0,0,0,3,0,0,151,238,264,0,0,0,0,0,0,0,1
"ASV_27",32,29,27,51,0,0,0,0,0,331,215,175,0,0,0,15,16,10,180,135,0,0,0,0,0,0,0,73,77,10,182,63,5,2,1,284,30,0,0,0,0,3,10
"ASV_28",62,50,57,50,0,0,0,0,0,13,0,0,0,0,0,52,53,62,172,125,0,0,0,0,0,9,66,0,58,66,132,154,0,0,6,14,0,0,0,0,0,22,38
"ASV_29",0,7,3,20,0,0,0,136,0,0,0,0,95,0,0,66,73,56,109,47,85,0,0,0,0,0,9,31,122,41,70,24,0,0,2,0,20,42,37,57,23,64,79
"ASV_30",0,0,0,0,0,0,0,50,0,0,0,0,102,484,489,0,0,0,0,0,66,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,20,464,223,213,149,0,0
"ASV_31",35,0,17,19,0,0,53,13,14,55,58,51,0,0,0,151,189,264,72,83,0,28,23,11,230,310,120,1,84,83,44,26,14,10,46,31,3,3,2,0,0,15,36
"ASV_32",12,17,26,9,0,3,9,0,0,171,269,208,0,0,0,17,0,10,82,60,0,0,0,0,16,15,58,0,3,3,67,70,0,0,3,232,0,0,0,0,0,2,8
"ASV_33",0,0,0,0,0,1,43,0,0,0,3,7,0,0,0,0,0,0,0,0,0,75,181,523,69,23,0,0,0,0,0,0,60,222,234,0,0,0,0,0,0,0,0
"ASV_34",0,0,0,0,0,0,0,182,0,0,0,0,188,152,176,0,0,11,0,0,108,0,0,0,0,0,0,94,31,9,0,0,0,0,3,0,84,156,136,103,105,3,11
"ASV_36",0,0,0,0,0,0,0,182,0,15,34,91,0,10,9,0,0,0,0,5,174,0,0,0,0,0,0,281,7,4,2,1,0,0,0,36,70,26,4,145,27,3,3
"ASV_37",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,22,0,0,0,0,0,0,8,0,2,3,0,0,0,0,0,8,0,0,119,505,0,2
"ASV_38",0,0,0,0,0,0,0,84,0,0,0,0,130,136,120,0,0,0,0,0,75,0,0,0,0,0,0,66,13,14,0,2,0,0,0,0,83,73,100,45,69,12,4
"ASV_39",0,19,0,20,0,0,61,0,0,44,0,0,0,0,0,81,140,120,17,53,0,156,79,89,32,49,151,0,38,57,16,35,108,66,43,5,0,0,0,0,0,7,38
"ASV_40",10,5,7,0,0,0,0,50,0,0,0,0,95,43,49,85,48,48,10,15,38,0,0,0,16,0,10,30,69,49,8,11,5,2,22,0,27,36,33,19,14,55,51
"ASV_41",15,14,0,13,0,0,0,0,0,0,0,0,26,14,0,89,53,119,8,7,29,0,0,0,0,0,0,13,107,104,8,11,0,0,0,0,9,2,5,3,1,33,72
"ASV_42",0,0,0,0,254,100,834,0,1377,152,66,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
"ASV_43",43,33,35,46,0,0,0,8,0,17,15,3,0,0,0,44,24,24,91,92,0,0,0,0,10,16,26,1,8,15,85,63,0,0,6,2,0,0,0,0,0,21,12
"ASV_45",0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,131,168,19,0,0,0,0,1,0,0,146,175,15,0,0,0,0,0,0,0,0
"ASV_46",8,18,7,7,0,0,4,38,0,0,0,9,40,35,46,0,0,0,31,44,27,14,6,12,18,21,16,13,7,5,21,11,4,4,12,3,10,35,19,17,4,4,5
"ASV_47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,73,0,0,189,178,0,0
"ASV_48",20,23,31,17,0,0,0,0,0,0,0,0,0,0,0,38,16,39,66,40,0,0,0,0,15,0,16,0,38,53,80,40,0,0,4,0,0,0,0,0,0,14,46
"ASV_49",0,0,0,12,0,0,37,0,0,69,45,121,0,0,0,0,14,0,36,27,0,0,43,33,185,230,166,0,3,6,20,25,22,29,137,51,0,0,0,0,0,0,0
"ASV_50",0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,117,4,0,0,1,0,0,0,0,150,0,6,83,58,4,0
"ASV_51",0,0,0,0,0,0,0,0,0,0,0,0,0,81,123,52,0,41,59,36,0,0,0,0,0,0,0,25,41,24,73,31,0,0,0,0,21,49,50,49,18,14,21
"ASV_52",0,0,0,0,0,0,68,0,2,20,0,0,0,0,0,61,46,56,0,0,0,47,60,38,68,80,35,14,31,49,10,4,20,27,43,0,10,17,6,0,8,28,10
"ASV_54",0,4,5,10,0,0,36,0,0,41,19,19,0,0,0,87,62,68,56,65,0,32,18,0,267,380,286,0,5,3,27,26,20,7,69,12,0,0,0,0,0,2,0
"ASV_55",0,0,0,0,0,0,0,121,0,0,0,0,206,68,76,0,0,0,0,0,127,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,113,78,118,17,26,0,0
"ASV_58",0,0,0,0,0,0,0,61,0,0,0,0,245,115,128,0,0,0,0,0,52,0,0,0,0,0,0,59,5,2,0,0,4,1,8,0,47,81,70,52,23,2,3
"ASV_59",29,23,11,27,0,0,0,8,0,0,0,0,0,0,0,53,46,60,36,28,0,0,0,0,0,0,0,0,55,62,21,37,0,0,0,0,1,2,3,1,1,24,37
"ASV_60",0,0,0,0,0,0,0,0,0,0,0,0,0,72,71,0,0,0,78,57,14,0,0,0,0,0,0,10,6,13,73,36,0,0,0,0,6,54,25,20,24,7,0
"ASV_64",27,19,19,17,0,0,0,0,0,0,0,0,0,0,0,34,24,13,82,54,0,0,0,0,0,0,0,0,27,27,59,58,0,0,0,0,0,0,0,0,0,11,24
"ASV_65",0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,99,93,54,48,0,0,0,0,0,0,37,111,101,0,0,0,0,0,0,0,0
"ASV_67",22,23,17,29,0,0,0,0,0,143,33,32,0,0,0,27,30,31,0,15,0,0,0,0,15,15,84,2,20,42,2,22,0,0,7,75,4,0,0,0,0,30,59
"ASV_68",0,0,0,0,0,0,45,0,0,30,11,0,0,0,0,0,0,0,0,0,0,51,39,49,97,125,76,0,0,0,6,5,29,52,88,12,0,0,0,0,0,0,0
"ASV_69",0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,0,0,0,47,26,44,0,0,0,0,0,0,26,2,8,37,25,0,0,0,0,18,16,31,5,18,3,0
"ASV_70",0,0,0,0,14,3,99,0,11,2,0,0,0,0,0,0,0,0,0,0,0,49,79,41,18,0,0,0,0,0,0,0,43,92,83,0,0,0,0,0,0,0,0
"ASV_71",28,21,19,31,0,0,0,0,0,0,11,0,0,0,0,32,43,43,44,54,0,0,0,0,34,30,0,0,12,14,48,71,1,4,12,0,0,0,0,0,0,4,1
"ASV_73",27,57,47,30,0,3,0,0,0,0,0,0,0,0,0,4,0,26,52,66,0,0,0,0,0,0,0,0,6,5,63,67,0,0,0,0,0,0,0,0,0,0,2
"ASV_74",51,71,88,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,78,21
"ASV_75",15,15,18,0,0,0,0,36,0,37,1,0,39,30,48,64,80,81,0,16,32,0,0,0,40,15,156,7,14,50,10,9,0,0,7,5,6,13,13,8,8,2,12
"ASV_76",0,0,0,0,15,5,192,0,39,0,0,0,0,0,0,0,0,0,0,0,0,48,62,124,40,0,0,0,0,0,0,0,34,37,37,0,0,0,0,0,0,0,0
"ASV_80",45,46,31,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,3
"ASV_81",0,0,0,0,0,4,135,0,26,0,0,0,0,0,0,0,0,0,0,0,0,57,54,56,73,0,0,0,0,0,0,0,23,89,106,0,0,0,0,0,0,0,0
"ASV_82",0,3,8,10,0,0,0,0,0,0,0,0,0,0,0,7,7,7,21,16,16,0,0,0,0,0,0,12,4,4,32,16,0,0,0,0,32,3,4,47,33,1,4
"ASV_84",0,0,0,0,0,0,58,0,9,0,0,0,0,0,0,0,0,0,0,0,0,51,115,133,36,5,0,0,0,0,0,0,48,100,66,0,1,0,0,0,0,0,0
"ASV_86",0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,38,33,41,31,10,0,0,0,0,0,0,0,0,36,42,24,16,0,0,2,0,0,5,0,0,0,9,24
"ASV_87",0,0,1,0,0,3,0,0,0,165,372,404,0,0,0,0,0,0,0,2,0,0,0,0,0,7,6,0,0,0,1,2,0,0,0,335,1,1,0,0,0,0,0
