,AT3_R5_POST_SOIL,AT3_R6_POST_SOIL,AT3_R7_POST_SOIL,AT3_R7_PRE_SOIL,AT3_R8_POST_SOIL,AT3_R8_PRE_SOIL,AT4_R5_POST_SOIL,AT4_R5_PRE_SOIL,AT4_R6_POST_SOIL,AT4_R6_PRE_SOIL,AT4_R7_POST_SOIL,AT4_R7_PRE_SOIL,AT4_R8_POST_SOIL,AT4_R8_PRE_SOIL,BEO1_R5_POST_SOIL,BEO1_R5_PRE_SOIL,BEO1_R6_POST_SOIL,BEO1_R6_PRE_SOIL,BEO1_R7_POST_SOIL,BEO1_R7_PRE_SOIL,BEO1_R8_POST_SOIL,BEO1_R8_PRE_SOIL,BEO2B_R5_POST_SOIL,BEO2B_R5_PRE_SOIL,BEO2B_R6_POST_SOIL,BEO2B_R6_PRE_SOIL,BEO2B_R7_POST_SOIL,BEO2B_R7_PRE_SOIL,BEO2B_R8_POST_SOIL,BEO2B_R8_PRE_SOIL,FL1C4_R5_POST_SOIL,FL1C4_R5_PRE_SOIL,FL1C4_R6_POST_SOIL,FL1C4_R6_PRE_SOIL,FL1C4_R7_PRE_SOIL,FL2C3_R5_POST_SOIL,FL2C3_R5_PRE_SOIL,FL2C3_R6_POST_SOIL,FL2C3_R6_PRE_SOIL,FL2C3_R7_POST_SOIL,FL2C3_R7_PRE_SOIL,FL2C3_R8_POST_SOIL,FL2C3_R8_PRE_SOIL
sp9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,10,13,0,2,0,0,2,0,0,0
sp13,3,0,1,0,8,7,0,0,0,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp24,3,0,2,0,4,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,14,0,16,7,11,0,0
sp40,2,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
