"crrelRR"	"crrelerr_R"	"crrelSig_adjust_R"	"crrelICl_R"	"crrelICu_R"
"ASV_1"	3.85585180686174	1.66263964290041	1	2.19321216396133	5.51849144976215
"ASV_2"	0	0	0	0	0
"ASV_3"	22.2057489745296	1.67511416259219	1	20.5306348119374	23.8808631371218
"ASV_4"	-20.4684111810926	1.7641052204261	1	-22.2325164015187	-18.7043059606665
"ASV_5"	0	0	0	0	0
"ASV_6"	-0.204155325240847	0.740867130177	-16.0904486483864	-0.945022455417847	0.536711804936153
"ASV_7"	-0.263971711368496	0.711351512227064	-13.6045085886634	-0.97532322359556	0.447379800858568
"ASV_8"	20.294667195738	2.52010549694681	1	17.7745616987912	22.8147726926848
"ASV_9"	0	0	0	0	0
"ASV_10"	-1.65399959940122	5.61699153779476	-2937.49887116391	-7.27099113719598	3.96299193839353
"ASV_11"	-1.08278344894819	2.44780483522978	-224.234705682306	-3.53058828417797	1.36502138628159
"ASV_12"	0	0	0	0	0
"ASV_13"	0	0	0	0	0
"ASV_14"	0	0	0	0	0
"ASV_15"	-0.568501541793325	1.25479064606199	-45.4123814714656	-1.82329218785531	0.686289104268665
"ASV_16"	-0.882411846992908	1.11343876129378	-14.5767136483792	-1.99585060828668	0.231026914300868
"ASV_17"	0	0	0	0	0
"ASV_18"	24.0023848797441	0.830739622618893	1	23.1716452571252	24.833124502363
"ASV_19"	0	0	0	0	0
"ASV_20"	23.051083693911	1.03878687944011	1	22.0122968144709	24.0898705733511
"ASV_21"	0	0	0	0	0
"ASV_22"	-0.756374869044465	1.07626819964526	-18.8618756274785	-1.83264306868973	0.319893330600798
"ASV_23"	-1.79609393069814	5.26423193126707	-1882.73856972089	-7.06032586196521	3.46813800056893
"ASV_24"	23.7200613340779	0.945526929878426	1	22.7745344041995	24.6655882639563
"ASV_25"	0	0	0	0	0
"ASV_26"	-0.055448428973482	0.959726175698067	-31.3120760229133	-1.01517460467155	0.904277746724585
"ASV_27"	-19.1869689724004	2.8553001103995	1	-22.0422690827999	-16.3316688620009
"ASV_28"	19.9418954030907	5.03677044274781	1	14.9051249603429	24.9786658458385
"ASV_29"	0	0	0	0	0
"ASV_30"	-1.83263027886805	2.30210058297428	-73.9995921465615	-4.13473086184233	0.469470304106231
"ASV_31"	-0.259544618567045	0.855771835116887	-21.9395705839157	-1.11531645368393	0.596227216549842
"ASV_32"	17.7454469838829	5.0367703548035	1	12.7086766290794	22.7822173386864
"ASV_33"	-0.138616060027418	0.747931834635782	-17.2574727131341	-0.886547894663201	0.609315774608364
"ASV_34"	19.4411201163953	5.0367704355961	1	14.4043496807992	24.4778905519914
"ASV_35"	0	0	0	0	0
"ASV_36"	0	0	0	0	0
"ASV_37"	-2.3478917143396	5.57343758049532	-2069.82761832947	-7.92132929483492	3.22554586615573
"ASV_38"	0	0	0	0	0
"ASV_39"	0	0	0	0	0
"ASV_40"	-0.771737153023958	1.24395177598287	-32.8365940951194	-2.01568892900683	0.472214622958908
"ASV_41"	0	0	0	0	0
"ASV_42"	0	0	0	0	0
"ASV_43"	-0.714720078761212	0.767972646210533	-2.34110661527987	-1.48269272497174	0.0532525674493217
"ASV_44"	0	0	0	0	0
"ASV_45"	0	0	0	0	0
"ASV_46"	-1.20215305364348	0.99967862005516	0.533836090303913	-2.20183167369864	-0.202474433588318
"ASV_47"	0	0	0	0	0
"ASV_48"	0	0	0	0	0
"ASV_49"	0	0	0	0	0
"ASV_50"	22.8553433631341	1.25594446176983	1	21.5993989013642	24.1112878249039
"ASV_51"	22.8264442477294	0.909404603053932	1	21.9170396446755	23.7358488507833
"ASV_52"	0	0	0	0	0
"ASV_53"	3.20657422743332	1.21297772990361	1	1.99359649752971	4.41955195733693
"ASV_54"	2.61200579323947	5.2731945882993	-1431.48792949796	-2.66118879505983	7.88520038153876
"ASV_55"	0	0	0	0	0
"ASV_56"	-0.470669927341025	0.815505214160484	-13.8760138629876	-1.28617514150151	0.344835286819458
"ASV_57"	0	0	0	0	0
"ASV_58"	0	0	0	0	0
"ASV_59"	-1.2842011413781	1.40225359073612	-9.68833150810944	-2.68645473211422	0.118052449358021
"ASV_60"	0.351357735011371	1.86104440461975	-139.009764428636	-1.50968666960838	2.21240213963112
"ASV_61"	-0.599373719160848	5.60859605017206	-3864.98624037501	-6.20796976933291	5.00922233101122
"ASV_62"	-2.07071351864782	5.15873353949991	-1546.19692165563	-7.22944705814774	3.08802002085209
"ASV_63"	-0.182231548802509	0.788439513063532	-18.999331096085	-0.970671061866041	0.606207964261023
"ASV_64"	0	0	0	0	0
"ASV_65"	0.626609819520048	7.12306901976135	-20762.9305015488	-6.4964592002413	7.7496788392814
"ASV_66"	0	0	0	0	0
"ASV_67"	0	0	0	0	0
"ASV_68"	0	0	0	0	0
"ASV_69"	0	0	0	0	0
"ASV_70"	-1.15482700586976	5.86602013183309	-5358.99447029887	-7.02084713770285	4.71119312596333
"ASV_71"	-0.609129454417332	0.770826740498272	-6.72593160194276	-1.3799561949156	0.161697286080939
"ASV_72"	0	0	0	0	0
"ASV_73"	-0.565378962118255	0.57141884449179	-0.202919714779364	-1.13679780661005	0.0060398823735347
"ASV_74"	19.0623264074906	2.47711770006496	1	16.5852087074257	21.5394441075556
"ASV_75"	-0.793619320809475	0.759256954799154	0.0639297297340948	-1.55287627560863	-0.0343623660103204
"ASV_76"	17.9018560111348	5.0367703691301	1	12.8650856420047	22.9386263802649
"ASV_77"	-1.55716048889445	2.84525303279642	-270.791613487047	-4.40241352169087	1.28809254390197
"ASV_78"	0	0	0	0	0
"ASV_79"	-0.358842633272492	7.12306902683585	-30611.9054044199	-7.48191166010834	6.76422639356336
"ASV_80"	0	0	0	0	0
"ASV_81"	-0.699308698553399	0.756076804364713	-2.45772631456937	-1.45538550291811	0.0567681058113136
"ASV_82"	0	0	0	0	0
"ASV_83"	-1.59383117910454	5.29804204754434	-2049.77149438401	-6.89187322664888	3.7042108684398
"ASV_84"	-0.798382691532551	5.20971451752923	-2290.17299761602	-6.00809720906179	4.41133182599668
"ASV_85"	-1.68575052009134	5.26813732454189	-1948.46711344955	-6.95388784463322	3.58238680445055
"ASV_86"	21.8432496509963	1.3445975169163	1	20.49865213408	23.1878471679126
"ASV_87"	0	0	0	0	0
"ASV_88"	-1.00101778733921	0.928066438194012	0.168537078996508	-1.92908422553322	-0.0729513491451935
"ASV_89"	0	0	0	0	0
"ASV_90"	0	0	0	0	0
"ASV_91"	-0.619536378263522	1.34563500221372	-52.627391942628	-1.96517138047724	0.726098623950199
"ASV_92"	0	0	0	0	0
"ASV_93"	0	0	0	0	0
"ASV_94"	0	0	0	0	0
"ASV_95"	0	0	0	0	0
"ASV_96"	0	0	0	0	0
"ASV_97"	-0.719869446694862	5.56203063642226	-3246.85020041048	-6.28190008311712	4.8421611897274
"ASV_98"	-0.614561360232273	0.685539371438317	-2.75409017732737	-1.30010073167059	0.0709780112060441
"ASV_99"	-0.00354748358956128	2.36104775681923	-264.804954474458	-2.36459524040879	2.35750027322966
"ASV_100"	0	0	0	0	0
"ASV_101"	0	0	0	0	0
"ASV_102"	0	0	0	0	0
"ASV_103"	-2.20900055302368	2.48589435478619	-47.5596160160603	-4.69489490780986	0.276893801762511
"ASV_104"	-0.719457885628548	0.888629262654407	-8.25498309174907	-1.60808714828296	0.169171377025859
"ASV_105"	-0.910042878620256	1.98346273340561	-127.512450001023	-2.89350561202587	1.07341985478536
"ASV_106"	0	0	0	0	0
"ASV_107"	0	0	0	0	0
"ASV_108"	0	0	0	0	0
"ASV_109"	0	0	0	0	0
"ASV_110"	-1.00027392664558	3.03421073359169	-437.953008044195	-4.03448466023727	2.03393680694611
"ASV_111"	0	0	0	0	0
"ASV_112"	-0.923360234099698	3.00108958183848	-432.635900346992	-3.92444981593818	2.07772934773879
"ASV_113"	0	0	0	0	0
"ASV_114"	-0.879647022503674	0.817181176982723	0.126954695928699	-1.6968281994864	-0.0624658455209518
"ASV_115"	0	0	0	0	0
"ASV_116"	0	0	0	0	0
"ASV_117"	-0.0990008426736605	0.91760635278037	-28.1737047936474	-1.01660719545403	0.818605510106709
"ASV_118"	0	0	0	0	0
"ASV_119"	0	0	0	0	0
"ASV_120"	0	0	0	0	0
"ASV_121"	0	0	0	0	0
"ASV_122"	18.5439546708395	5.03677040922432	1	13.5071842616152	23.5807250800638
"ASV_123"	17.831682216319	5.03677036297865	1	12.7949118533403	22.8684525792976
"ASV_124"	0.0520978195218203	0.811290110858055	-21.469844784333	-0.759192291336234	0.863387930379875
"ASV_125"	0	0	0	0	0
"ASV_126"	0	0	0	0	0
"ASV_127"	-1.91646747336314	5.61410337502304	-2687.66478433289	-7.53057084838618	3.6976359016599
"ASV_128"	0	0	0	0	0
"ASV_129"	0	0	0	0	0
"ASV_130"	0	0	0	0	0
"ASV_131"	0	0	0	0	0
"ASV_132"	0	0	0	0	0
"ASV_133"	-1.38993291512408	2.53700726724296	-204.346296160829	-3.92694018236704	1.14707435211888
"ASV_134"	-0.580639878516872	2.21491391639193	-208.300623460721	-2.7955537949088	1.63427403787506
"ASV_135"	0	0	0	0	0
"ASV_136"	-0.526526371497749	1.25283515806966	-47.0909073590152	-1.77936152956741	0.726308786571913
"ASV_137"	0	0	0	0	0
"ASV_138"	0	0	0	0	0
"ASV_139"	0	0	0	0	0
"ASV_140"	16.0947627652064	5.03676993818299	1	11.0579928270235	21.1315327033894
"ASV_141"	0	0	0	0	0
"ASV_142"	-19.7521669312875	0.989370717024116	1	-20.7415376483116	-18.7627962142633
"ASV_143"	-0.702267972027054	2.83686127012342	-387.248022409621	-3.53912924215047	2.13459329809637
"ASV_144"	17.8508074978569	5.03677036469819	1	12.8140371331587	22.8875778625551
"ASV_145"	-1.18171003686331	2.22602472218019	-150.880914190841	-3.4077347590435	1.04431468531687
"ASV_146"	0	0	0	0	0
"ASV_147"	18.6750458916142	5.03677041469491	1	13.6382754769193	23.7118163063091
"ASV_148"	0.0674211598948865	1.58644412273305	-97.8271631232698	-1.51902296283816	1.65386528262793
"ASV_149"	21.0868289011951	1.1010678121583	1	19.9857610890368	22.1878967133534
"ASV_150"	0	0	0	0	0
"ASV_151"	-0.935572217685686	1.20395964751298	-18.4096446553596	-2.13953186519867	0.268387429827293
"ASV_152"	-18.998107483689	5.036770425477	1	-24.034877909166	-13.961337058212
"ASV_153"	-0.416198706673315	1.08729302600743	-35.0747844301202	-1.50349173268075	0.671094319334117
"ASV_154"	-0.834928991204606	0.951122260130025	-6.23474728802486	-1.78605125133463	0.116193268925419
"ASV_155"	-0.399344401430376	2.18576012853394	-211.614958122108	-2.58510452996431	1.78641572710356
"ASV_156"	-1.93929299283569	7.12306898336139	-8524.49258880672	-9.06236197619708	5.18377599052569
"ASV_157"	0	0	0	0	0
"ASV_158"	0	0	0	0	0
"ASV_159"	-0.549699172646872	0.869032953091206	-14.2232332946292	-1.41873212573808	0.319333780444335
"ASV_160"	0	0	0	0	0
"ASV_161"	-0.746960531607465	0.734595546768048	0.0219537820073211	-1.48155607837551	-0.0123649848394171
"ASV_162"	0.196928520074889	1.06819671583186	-38.7629289229438	-0.87126819575697	1.26512523590675
"ASV_163"	0	0	0	0	0
"ASV_164"	-0.689774656364085	0.820405446201725	-5.90721229632938	-1.51018010256581	0.130630789837641
"ASV_165"	0	0	0	0	0
"ASV_166"	0	0	0	0	0
"ASV_167"	0	0	0	0	0
"ASV_168"	0	0	0	0	0
"ASV_169"	0	0	0	0	0
"ASV_170"	-0.227571853955909	1.04202863363961	-36.0838348323223	-1.26960048759552	0.814456779683701
"ASV_171"	0	0	0	0	0
"ASV_172"	0	0	0	0	0
"ASV_173"	-0.378763986937258	0.817180709200986	-16.6918417558804	-1.19594469613824	0.438416722263728
