sample_name,sample,sample_ID,site,core,pre_post_thaw,soil_blank,Shannon,Simpson,,site,avg shan pre,avg shan post,shan diff,avg simp pre,avg simp post,simp diff,,std dev shannon ,,std dev simpson 
2_S73_L002,2,AT3_R6_POST_SOIL,CRREL,AT3,post,soil,4.087384541,0.9590748,,crrel,4.674317532,3.954919588,-0.719397945,0.982806973,0.94495176,-0.037855213,crrel,0.437770469,,0.025001384
4_S75_L002,4,AT3_R8_POST_SOIL,CRREL,AT3,post,soil,4.316569651,0.96873232,,FL,3.985096305,2.394985081,-1.590111224,0.96009904,0.7082044,-0.25189464,FL,0.887605113,,0.140642659
5_S76_L002,5,AT4_R5_POST_SOIL,CRREL,AT4,post,soil,3.463625615,0.90860256,,Utqiagvik,3.894252763,2.251271484,-1.642981279,0.964088944,0.685414171,-0.278674773,Ut,1.283256623,,0.267697624
6_S77_L002,6,AT4_R6_POST_SOIL,CRREL,AT4,post,soil,3.952098543,0.94339736,,,,,,,,,,,,
13_S84_L002,13,FL2C3_R5_POST_SOIL,FL,FL2C3,post,soil,2.070845815,0.66200216,,site ,increase/decrease shannon by __ ,,,,,,,,,
14_S85_L002,14,FL2C3_R6_POST_SOIL,FL,FL2C3,post,soil,2.450642184,0.71689768,,crrel,0.360423574,,,,,,,,,
15_S86_L002,15,FL2C3_R7_POST_SOIL,FL,FL2C3,post,soil,2.833493289,0.80909624,,fl,0.331341858,,,,,,,,,
16_S87_L002,16,FL2C3_R8_POST_SOIL,FL,FL2C3,post,soil,2.224959037,0.64482152,,ut ,1.293047764,,,,,,,,,
17_S88_L002,17,BEO1_R5_POST_SOIL,Utqiagvik,BEO1,post,soil,0.827778448,0.33722656,,,,,,,,,,,,
18_S89_L002,18,BEO1_R6_POST_SOIL,Utqiagvik,BEO1,post,soil,0.638175639,0.2344704,,site ,increase/decrease simpson std dev. ,,,,,,,,,
19_S90_L002,19,BEO1_R7_POST_SOIL,Utqiagvik,BEO1,post,soil,3.537863343,0.92610408,,crrel,0.026385955,,,,,,,,,
20_S91_L002,20,BEO1_R8_POST_SOIL,Utqiagvik,BEO1,post,soil,1.200191674,0.55020728,,fl,0.073952176,,,,,,,,,
21_S92_L002,21,BEO2B_R5_POST_SOIL,Utqiagvik,BEO2B,post,soil,3.236765943,0.92061248,,ut,0.30588877,,,,,,,,,
22_S93_L002,22,BEO2B_R6_POST_SOIL,Utqiagvik,BEO2B,post,soil,3.268534383,0.90454632,,,,,,,,,,,,
23_S94_L002,23,BEO2B_R7_POST_SOIL,Utqiagvik,BEO2B,post,soil,3.049590955,0.92473208,,,,,,,,,,,,
25_S96_L002,25,AT3_R5_PRE_SOIL,CRREL,AT3,pre,soil,4.531203431,0.97830464,,,,,,,,,,,,
26_S97_L002,26,AT3_R6_PRE_SOIL,CRREL,AT3,pre,soil,4.565860673,0.97957808,,,,,,,,,,,,
27_S98_L002,27,AT3_R7_PRE_SOIL,CRREL,AT3,pre,soil,4.630667753,0.98024832,,,,,,,,,,,,
28_S99_L002,28,AT3_R8_PRE_SOIL,CRREL,AT3,pre,soil,4.645638516,0.98218376,,,,,,,,,,,,
29_S100_L002,29,AT4_R5_PRE_SOIL,CRREL,AT4,pre,soil,4.889009116,0.98878608,,,,,,,,,,,,
31_S102_L002,31,AT4_R7_PRE_SOIL,CRREL,AT4,pre,soil,4.783525706,0.98774096,,,,,,,,,,,,
33_S104_L002,33,FL1C4_R5_PRE_SOIL,FL,FL1C4,pre,soil,3.880356185,0.96021176,,,,,,,,,,,,
34_S105_L002,34,FL1C4_R6_PRE_SOIL,FL,FL1C4,pre,soil,4.174812164,0.96974248,,,,,,,,,,,,
35_S106_L002,35,FL1C4_R7_PRE_SOIL,FL,FL1C4,pre,soil,4.353723868,0.97614112,,,,,,,,,,,,
38_S109_L002,38,FL2C3_R6_PRE_SOIL,FL,FL2C3,pre,soil,3.572731254,0.93851272,,,,,,,,,,,,
39_S110_L002,39,FL2C3_R7_PRE_SOIL,FL,FL2C3,pre,soil,3.943858054,0.95588712,,,,,,,,,,,,
43_S114_L002,43,BEO1_R7_PRE_SOIL,Utqiagvik,BEO1,pre,soil,3.926730981,0.96520768,,,,,,,,,,,,
44_S115_L002,44,BEO1_R8_PRE_SOIL,Utqiagvik,BEO1,pre,soil,3.542205661,0.9484972,,,,,,,,,,,,
45_S116_L002,45,BEO2B_R5_PRE_SOIL,Utqiagvik,BEO2B,pre,soil,4.182477981,0.9748,,,,,,,,,,,,
46_S117_L002,46,BEO2B_R6_PRE_SOIL,Utqiagvik,BEO2B,pre,soil,3.892352537,0.96672952,,,,,,,,,,,,
47_S118_L002,47,BEO2B_R7_PRE_SOIL,Utqiagvik,BEO2B,pre,soil,3.927496653,0.96521032,,,,,,,,,,,,
