UTRR,UTerr_R,UTSig_adjust_R,UTICl_R,UTICu_R,ID,Kingdom,Phylum,Class,Order,Family,Genus
3.481633165,0.976437572,1,2.505195593,4.458070737,ASV_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
10.78904511,1.221953315,1,9.567091792,12.01099842,ASV_3,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus
-0.145280216,1.84035892,-27.32585085,-1.985639136,1.695078704,ASV_4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
0,0,0,0,0,ASV_7,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA
-0.626141103,2.68325667,-82.03629559,-3.309397773,2.057115566,ASV_8,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Syntrophobotulaceae,NA
-1.080249485,1.246208084,-2.651466829,-2.326457569,0.165958599,ASV_9,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,NA
-0.019207121,1.999447761,-41.17774939,-2.018654882,1.98024064,ASV_10,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
-1.218084896,1.303312261,-1.444677695,-2.521397157,0.085227366,ASV_11,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
-1.379339464,0.849506943,1,-2.228846407,-0.529832521,ASV_12,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
-0.55221748,6.527574527,-13509.16836,-7.079792007,5.975357046,ASV_13,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
10.79696868,0.862397492,1,9.934571192,11.65936618,ASV_14,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
0,0,0,0,0,ASV_15,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
-6.66057515,1.890528627,1,-8.551103777,-4.770046522,ASV_16,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Ruminiclostridium
6.990914006,5.032135592,1,1.958778414,12.0230496,ASV_18,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum
9.314790473,1.753524479,1,7.561265994,11.06831495,ASV_20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
-2.345915463,1.307171369,1,-3.653086832,-1.038744094,ASV_23,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
0,0,0,0,0,ASV_24,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria
-2.163369132,1.376552433,1,-3.539921565,-0.786816698,ASV_25,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus
-1.689561731,5.362193997,-2255.524398,-7.051755727,3.672632266,ASV_26,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA
9.459508053,1.533820219,1,7.925687834,10.99332827,ASV_28,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella
-0.978351608,1.262357329,-4.401779356,-2.240708937,0.28400572,ASV_29,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA
-1.659161802,1.632277384,0.098286277,-3.291439187,-0.026884418,ASV_30,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans
-0.514034495,2.048546518,-40.29042029,-2.562581013,1.534512023,ASV_32,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
-3.42271067,2.813830699,1,-6.236541369,-0.60887997,ASV_35,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
-1.914910362,5.579014468,-2768.975039,-7.49392483,3.664104106,ASV_36,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA
-1.210673909,1.060016088,0.379316115,-2.270689997,-0.150657821,ASV_37,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
-0.183234784,2.423883104,-65.07308923,-2.607117888,2.24064832,ASV_39,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
0,0,0,0,0,ASV_40,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Rugamonas
8.841489561,1.430367757,1,7.411121804,10.27185732,ASV_42,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
-1.701579802,1.80367878,-2.448944431,-3.505258583,0.102098978,ASV_45,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA
0,0,0,0,0,ASV_46,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,NA
9.274079467,1.175884992,1,8.098194475,10.44996446,ASV_47,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA
-9.381010986,1.490257751,1,-10.87126874,-7.890753235,ASV_49,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
1.369465744,2.097186118,-20.30922318,-0.727720375,3.466651862,ASV_52,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
7.759553203,1.912807346,1,5.846745857,9.672360548,ASV_53,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA
-5.484796933,4.279751995,1,-9.764548928,-1.205044939,ASV_54,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
0,0,0,0,0,ASV_56,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
-6.431331082,1.958934111,1,-8.390265193,-4.472396971,ASV_59,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
0,0,0,0,0,ASV_61,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa
0,0,0,0,0,ASV_64,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,NA
-6.49375384,1.88227574,1,-8.37602958,-4.6114781,ASV_66,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA
-0.440654479,2.26294407,-53.94075924,-2.703598549,1.82228959,ASV_67,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Compostimonas
-1.629712271,2.486302951,-28.74603564,-4.116015222,0.85659068,ASV_68,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA
-1.87480914,2.847064748,-48.06614096,-4.721873888,0.972255608,ASV_69,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,NA
-1.532923916,3.201260788,-128.2455911,-4.734184704,1.668336872,ASV_70,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 13
0,0,0,0,0,ASV_71,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
-0.752483385,1.704908409,-18.37853456,-2.457391794,0.952425023,ASV_78,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
0.409715975,2.696069653,-86.65841487,-2.286353678,3.105785628,ASV_80,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
0,0,0,0,0,ASV_83,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
0,0,0,0,0,ASV_86,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter
-1.463433153,1.855855375,-9.90361073,-3.319288527,0.392422222,ASV_89,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,NA
-1.991585536,1.87813229,0.486515559,-3.869717825,-0.113453246,ASV_90,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
0,0,0,0,0,ASV_91,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter
8.517393171,1.692698014,1,6.824695157,10.21009119,ASV_92,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
-0.539028782,3.192755356,-191.6606683,-3.731784139,2.653726574,ASV_93,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,[Aquaspirillum] arcticum group
-1.314919148,3.342012971,-173.9145524,-4.65693212,2.027093823,ASV_94,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Tardiphaga
-2.041745861,1.684165216,1,-3.725911077,-0.357580645,ASV_95,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sulfuricellaceae,Sulfuricella
-2.448274436,5.241260481,-1327.402557,-7.689534917,2.792986044,ASV_96,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
0,0,0,0,0,ASV_99,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA
-3.278824621,5.109114862,-795.0034863,-8.387939483,1.830290241,ASV_100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
-2.052672107,3.585619179,-156.2299553,-5.638291286,1.532947073,ASV_101,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter
-1.176938867,5.066788082,-1861.367664,-6.243726949,3.889849215,ASV_102,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter
0,0,0,0,0,ASV_103,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
0,0,0,0,0,ASV_104,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
-1.877199171,3.656676186,-188.6762607,-5.533875357,1.779477015,ASV_105,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
-1.274627958,1.358064418,-1.481948624,-2.632692376,0.08343646,ASV_107,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella
-2.200412451,3.393653427,-79.93394683,-5.594065877,1.193240976,ASV_108,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
-2.102734838,5.340662446,-1710.291255,-7.443397284,3.237927608,ASV_111,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovastum
