"","X13_S84_L002","X14_S85_L002","X15_S86_L002","X16_S87_L002","X17_S88_L002","X18_S89_L002","X19_S90_L002","X2_S73_L002","X20_S91_L002","X21_S92_L002","X22_S93_L002","X23_S94_L002","X25_S96_L002","X26_S97_L002","X27_S98_L002","X28_S99_L002","X29_S100_L002","X31_S102_L002","X33_S104_L002","X34_S105_L002","X35_S106_L002","X38_S109_L002","X39_S110_L002","X4_S75_L002","X43_S114_L002","X44_S115_L002","X45_S116_L002","X46_S117_L002","X47_S118_L002","X5_S76_L002","X6_S77_L002"
"ASV_1",22.01,14.01,12.01,31.01,4044.01,4364.01,0.01,62.01,3032.01,41.01,302.01,418.01,0.01,12.01,0.01,0.01,0.01,8.01,84.01,141.01,115.01,48.01,44.01,65.01,39.01,25.01,59.01,80.01,65.01,33.01,288.01
"ASV_3",2852.01,2607.01,2089.01,2954.01,0.01,42.01,0.01,500.01,0.01,1057.01,1374.01,921.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36.01,0.01,0.01,0.01,0.01,0.01,0.01,20.01
"ASV_4",366.01,284.01,371.01,194.01,0.01,0.01,0.01,0.01,0.01,117.01,149.01,188.01,0.01,39.01,38.01,24.01,0.01,20.01,659.01,537.01,425.01,754.01,663.01,0.01,0.01,0.01,139.01,162.01,74.01,0.01,0.01
"ASV_7",164.01,148.01,185.01,111.01,0.01,0.01,0.01,145.01,0.01,0.01,0.01,0.01,187.01,228.01,178.01,137.01,105.01,118.01,318.01,295.01,193.01,506.01,463.01,135.01,0.01,0.01,0.01,0.01,0.01,137.01,141.01
"ASV_8",0.01,72.01,115.01,105.01,0.01,0.01,0.01,33.01,0.01,152.01,83.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,334.01,304.01,190.01,697.01,459.01,24.01,0.01,0.01,107.01,93.01,114.01,0.01,0.01
"ASV_9",22.01,26.01,8.01,19.01,0.01,0.01,31.01,0.01,0.01,244.01,184.01,214.01,0.01,0.01,0.01,0.01,0.01,0.01,54.01,111.01,87.01,33.01,76.01,0.01,123.01,99.01,437.01,432.01,325.01,0.01,0.01
"ASV_10",71.01,48.01,77.01,68.01,0.01,0.01,0.01,0.01,0.01,598.01,286.01,271.01,51.01,0.01,23.01,56.01,0.01,0.01,229.01,160.01,115.01,186.01,239.01,16.01,0.01,0.01,179.01,221.01,441.01,0.01,0.01
"ASV_11",21.01,27.01,29.01,25.01,0.01,0.01,39.01,30.01,0.01,133.01,70.01,88.01,25.01,30.01,28.01,22.01,13.01,12.01,229.01,126.01,208.01,118.01,95.01,16.01,35.01,28.01,159.01,237.01,338.01,0.01,0.01
"ASV_12",0.01,8.01,13.01,0.01,24.01,0.01,187.01,0.01,15.01,120.01,56.01,60.01,0.01,0.01,0.01,0.01,0.01,0.01,25.01,17.01,16.01,37.01,30.01,0.01,332.01,258.01,187.01,176.01,358.01,0.01,0.01
"ASV_13",245.01,302.01,225.01,45.01,0.01,0.01,0.01,0.01,0.01,0.01,4.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,120.01,107.01,172.01,0.01,0.01,0.01,0.01,0.01,5.01,0.01,0.01,0.01,0.01
"ASV_14",0.01,0.01,0.01,0.01,278.01,108.01,1207.01,0.01,1416.01,186.01,74.01,152.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_15",48.01,25.01,43.01,40.01,0.01,0.01,0.01,152.01,0.01,0.01,0.01,0.01,158.01,154.01,117.01,162.01,58.01,43.01,89.01,82.01,69.01,86.01,106.01,83.01,0.01,0.01,0.01,0.01,0.01,97.01,92.01
