,X13_S84_L002,X14_S85_L002,X15_S86_L002,X16_S87_L002,X17_S88_L002,X18_S89_L002,X19_S90_L002,X2_S73_L002,X20_S91_L002,X21_S92_L002,X22_S93_L002,X23_S94_L002,X25_S96_L002,X26_S97_L002,X27_S98_L002,X28_S99_L002,X29_S100_L002,X31_S102_L002,X33_S104_L002,X34_S105_L002,X35_S106_L002,X38_S109_L002,X39_S110_L002,X4_S75_L002,X43_S114_L002,X44_S115_L002,X45_S116_L002,X46_S117_L002,X47_S118_L002,X5_S76_L002,X6_S77_L002
ASV_1,22,14,12,31,4044,4364,0,62,3032,41,302,418,0,12,0,0,0,8,84,141,115,48,44,65,39,25,59,80,65,33,288
ASV_3,2852,2607,2089,2954,0,42,0,500,0,1057,1374,921,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,20
ASV_4,366,284,371,194,0,0,0,0,0,117,149,188,0,39,38,24,0,20,659,537,425,754,663,0,0,0,139,162,74,0,0
ASV_7,164,148,185,111,0,0,0,145,0,0,0,0,187,228,178,137,105,118,318,295,193,506,463,135,0,0,0,0,0,137,141
ASV_8,0,72,115,105,0,0,0,33,0,152,83,0,0,0,0,0,0,0,334,304,190,697,459,24,0,0,107,93,114,0,0
ASV_9,22,26,8,19,0,0,31,0,0,244,184,214,0,0,0,0,0,0,54,111,87,33,76,0,123,99,437,432,325,0,0
ASV_10,71,48,77,68,0,0,0,0,0,598,286,271,51,0,23,56,0,0,229,160,115,186,239,16,0,0,179,221,441,0,0
ASV_11,21,27,29,25,0,0,39,30,0,133,70,88,25,30,28,22,13,12,229,126,208,118,95,16,35,28,159,237,338,0,0
ASV_12,0,8,13,0,24,0,187,0,15,120,56,60,0,0,0,0,0,0,25,17,16,37,30,0,332,258,187,176,358,0,0
ASV_13,245,302,225,45,0,0,0,0,0,0,4,0,0,0,0,0,0,0,120,107,172,0,0,0,0,0,5,0,0,0,0
ASV_14,0,0,0,0,278,108,1207,0,1416,186,74,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_15,48,25,43,40,0,0,0,152,0,0,0,0,158,154,117,162,58,43,89,82,69,86,106,83,0,0,0,0,0,97,92
ASV_16,18,14,17,0,0,0,0,90,0,0,0,0,267,273,225,307,172,195,282,206,218,30,48,167,0,0,18,0,21,88,116
ASV_18,209,116,89,183,0,0,0,691,0,0,76,0,0,0,0,0,0,0,0,0,7,0,19,89,0,0,0,0,0,1246,1054
ASV_20,48,58,257,121,0,10,0,43,0,96,123,548,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,666,138
ASV_23,0,0,0,0,0,15,49,19,0,22,23,25,44,23,42,0,19,19,0,0,0,0,0,0,613,215,83,46,43,0,0
ASV_24,0,3,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,0,0,0,0,0,347,134
ASV_25,0,2,6,18,0,0,54,0,0,52,23,23,0,0,0,0,0,0,77,73,73,64,60,0,27,0,256,387,275,0,0
ASV_26,116,105,162,72,0,0,0,74,0,0,17,0,47,57,55,44,72,26,49,41,60,46,113,49,0,0,36,0,30,98,46
ASV_28,34,34,29,62,0,0,0,0,0,440,246,212,0,0,0,0,0,0,13,10,8,172,166,0,0,0,0,0,0,0,0
ASV_29,0,0,0,12,0,0,46,0,0,86,68,151,0,0,0,0,0,0,0,13,0,41,40,0,39,38,187,248,155,0,0
ASV_30,0,4,7,7,0,0,15,0,0,39,0,28,23,28,42,33,78,77,47,44,46,28,11,0,32,26,82,56,112,0,43
ASV_32,47,52,33,41,0,0,0,7,0,17,19,5,0,0,0,0,0,0,38,26,22,91,105,0,0,0,10,13,26,0,0
ASV_35,0,0,0,0,0,0,43,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,224,819,66,31,0,0,0
ASV_36,60,67,63,41,0,0,0,0,0,15,0,0,0,0,0,0,0,0,52,59,50,170,139,0,0,0,0,13,60,0,0
ASV_37,35,0,15,17,0,0,77,14,18,58,80,69,30,0,0,26,0,0,144,198,246,75,81,0,36,21,237,313,117,0,0
ASV_39,0,0,0,0,15,8,283,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,170,40,0,0,0,0
ASV_40,0,0,0,0,0,0,0,193,0,0,0,0,453,402,417,285,163,102,0,0,0,0,0,262,0,0,0,0,0,127,43
ASV_42,0,0,0,0,266,72,0,0,0,8,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_45,0,0,0,0,0,0,67,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,52,77,103,124,75,0,0
ASV_46,0,0,0,0,0,0,0,63,0,0,0,0,113,188,212,171,90,104,0,0,0,0,0,55,0,0,0,0,0,39,29
ASV_47,0,0,0,0,255,270,0,0,200,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,309,14,0,0,0,0
ASV_52,0,0,0,8,8,19,40,0,28,61,66,26,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,30,15,0,0
ASV_53,0,0,3,0,0,0,0,188,0,16,41,107,0,7,0,0,9,7,0,0,0,0,5,181,0,0,0,0,0,0,73
ASV_54,0,7,5,19,0,0,0,143,0,0,0,0,0,32,74,0,0,0,68,65,45,126,56,87,0,0,0,0,12,0,0
ASV_56,0,0,0,0,0,0,0,58,0,0,0,0,112,100,106,132,114,126,0,0,0,0,0,91,0,0,0,0,0,74,108
ASV_59,12,8,6,0,0,0,0,45,0,0,0,0,87,89,73,157,37,38,88,43,47,9,9,42,0,0,19,0,12,11,42
ASV_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,25,19,0,0,0,48,32,38,0,0,0,0,0,0,0
ASV_64,48,98,96,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_66,19,9,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,45,71,58,0,0,0,17,0,16,0,0
ASV_67,0,0,0,0,14,6,154,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,76,20,0,0,0,0
ASV_68,0,22,0,21,0,0,82,0,0,48,0,0,0,0,0,0,0,0,81,127,143,18,52,0,112,120,32,59,151,0,0
ASV_69,0,0,0,0,0,0,0,0,0,39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,45,183,0,0
ASV_70,0,0,0,0,0,0,64,0,10,0,0,0,0,9,13,14,0,0,0,0,0,6,0,5,87,100,33,25,0,0,0
ASV_71,0,0,0,0,0,0,0,0,0,0,0,0,96,76,106,43,115,152,0,0,0,0,0,66,0,0,0,0,0,77,86
ASV_78,0,0,0,0,0,0,38,0,0,133,22,55,0,0,0,0,0,0,0,0,7,0,6,0,0,0,140,92,144,0,0
ASV_80,23,34,24,32,0,0,0,0,0,180,35,36,0,0,0,0,0,0,26,39,28,0,11,0,0,0,16,15,88,0,0
ASV_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,54,63,0,0,0,90,62,12,0,0,0,0,0,0,0
ASV_86,0,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,9,21,13,16,0,0,0,0,0,197,129
ASV_89,0,0,0,0,0,0,71,0,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,85,67,68,0,0
ASV_90,0,0,6,8,0,0,0,0,0,10,22,18,0,0,0,0,0,0,0,5,5,7,8,0,0,0,63,120,79,0,0
ASV_91,0,0,0,0,0,0,0,133,0,0,0,0,195,142,157,135,54,69,0,0,0,0,0,128,0,0,0,0,0,46,44
ASV_92,0,0,0,0,0,0,0,0,0,46,112,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_93,0,0,0,0,2,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,50,16,0,0,0,0
ASV_94,0,0,0,0,0,0,68,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,62,25,21,15,0,0
ASV_95,0,0,0,0,0,5,38,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,90,55,41,101,27,0,0
ASV_96,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,255,20,0,0,0,0
ASV_99,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,17,12,0,0,0,3,0,0,10,0,0,0,0,0,0,17
ASV_100,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,23,46,50,68,54,0,0,0,58,46,30,0,0
ASV_101,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,65,100,0,0
ASV_102,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,47,89,32,0,0
ASV_103,0,0,0,0,0,0,0,0,0,0,0,0,68,37,0,68,62,98,59,0,47,62,45,0,0,0,0,0,0,12,39
ASV_104,0,0,0,0,0,0,0,23,0,0,0,0,50,74,61,61,97,126,0,0,0,0,0,44,0,0,0,0,0,46,89
ASV_105,19,13,11,0,0,0,0,39,0,39,4,0,51,55,34,56,21,41,58,84,73,0,21,32,0,0,41,16,144,0,22
ASV_107,0,0,0,0,15,0,18,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,52,49,17,38,0,0,0
